Tide Gauge Name,Latitude,Longitude,Start Year,End Year,Mean Amplitude (cm),Minimum Amplitude (cm),Maximum Amplitude (cm),Std of Amplitude (cm),Ratio: Mean/Max,Trends Post-1970 (mm/yr),Significant,Phase Mean (degrees),Phase Circular Std (degrees),ENSO,SigENSO,NAO,SigNAO,AMO,SigAMO,PDO,SigPDO,,,,,
'MALOY',61.93,5.11,1945,2017,13.17,9.51,16.78,1.48,0.78,0.03,NaN,318.97,9.35,0.49,NaN,1.06,NaN,-0.22,NaN,1.18,NaN,,,,,
'ADAK__SWEEPER_COVE',51.86,-176.63,1945,2017,6.61,2.17,10.81,1.76,0.61,-0.07,NaN,351.73,10.43,2.45,1,-2.30,1,1.55,NaN,6.75,1,,,,,
'TARIFA',36.01,-5.60,1946,2016,4.28,1.38,6.41,0.91,0.67,0.13,NaN,267.52,14.81,-1.79,NaN,1.57,NaN,-0.98,NaN,1.27,NaN,,,,,
'NIEUWPOORT',51.15,2.73,1945,2015,7.10,3.62,9.43,0.92,0.75,0.25,NaN,301.62,9.05,2.37,1,-0.98,NaN,-0.93,NaN,0.61,NaN,,,,,
'ALGECIRAS',36.12,-5.43,1945,2000,4.27,2.17,6.46,0.96,0.66,0.48,1,270.59,10.65,0.98,NaN,2.74,1,0.59,NaN,0.66,NaN,,,,,
'SKAGWAY',59.45,-135.33,1947,2017,9.08,2.31,14.99,2.45,0.61,0.71,NaN,273.68,13.75,1.76,NaN,0.00,NaN,8.75,1,-6.20,NaN,,,,,
'MALAGA',36.71,-4.42,1946,2011,5.22,2.68,7.54,1.03,0.69,0.54,1,263.33,13.92,-2.64,1,1.91,NaN,0.78,NaN,1.61,NaN,,,,,
'PORT_ISABEL',26.06,-97.22,1946,2017,5.99,2.55,9.10,1.28,0.66,0.54,1,275.41,13.18,-1.64,NaN,0.22,NaN,-2.04,NaN,-1.31,NaN,,,,,
'CEUTA',35.89,-5.32,1946,2016,4.05,2.49,6.46,0.78,0.63,0.34,1,266.87,16.25,2.74,1,-0.04,NaN,-0.17,NaN,2.88,1,,,,,
'VALPARAISO',-33.03,-71.63,1946,2016,3.08,0.79,7.75,1.11,0.40,0.11,NaN,72.13,17.24,-3.28,1,0.35,NaN,0.67,NaN,-1.70,NaN,,,,,
'HOLYHEAD',53.31,-4.62,1940,2016,7.62,2.65,10.66,1.60,0.71,NaN,NaN,310.36,12.77,5.31,1,3.39,1,-3.47,1,3.96,1,,,,,
'WELLINGTON_II',-41.28,174.78,1947,1998,2.72,0.04,5.14,1.05,0.53,-0.40,NaN,96.51,30.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'PUERTO_MADRYN',-42.77,-65.03,1946,1998,6.98,4.15,10.29,1.33,0.68,-0.45,NaN,69.31,18.99,-3.37,1,-1.80,1,0.98,NaN,-2.44,1,,,,,
'ALEXANDRIA',31.22,29.92,1946,2004,7.47,4.50,13.50,1.76,0.55,1.07,1,258.19,14.26,1.02,NaN,3.61,1,2.73,1,1.84,NaN,,,,,
'PORT_SAN_LUIS',35.18,-120.76,1947,2017,6.27,4.28,8.22,0.83,0.76,0.37,1,272.50,13.07,3.99,1,1.90,1,-3.19,1,2.17,1,,,,,
'ALESUND',62.47,6.15,1947,2017,13.88,10.43,17.70,1.67,0.78,-0.14,NaN,322.71,9.10,0.19,NaN,2.22,NaN,-3.62,1,0.00,NaN,,,,,
'BATUMI',41.63,41.70,1884,2016,7.80,1.66,14.74,2.50,0.53,0.06,NaN,159.49,39.84,0.78,NaN,-7.76,1,-4.46,1,-6.89,1,,,,,
'ANTOFAGASTA_2',-23.65,-70.40,1948,2016,3.51,0.90,6.08,0.88,0.58,-0.04,NaN,63.03,19.96,0.59,NaN,-0.21,NaN,0.79,NaN,0.09,NaN,,,,,
'ANTOFAGASTA',-23.65,-70.42,1948,1989,3.39,1.99,4.81,0.53,0.70,NaN,NaN,68.88,12.61,-0.89,NaN,-1.95,1,0.74,NaN,-0.53,NaN,,,,,
'KWAJALEIN',8.73,167.74,1948,2017,3.39,0.04,6.35,1.24,0.53,0.05,NaN,163.62,20.31,7.37,1,-2.10,1,3.69,1,5.49,1,,,,,
'KUSHIRO',42.98,144.37,1949,2016,3.03,0.30,5.95,0.93,0.51,-0.09,NaN,294.92,18.27,-0.51,NaN,-1.00,NaN,-0.26,NaN,0.22,NaN,,,,,
'MONTAUK',41.05,-71.96,1950,2017,5.39,2.35,8.50,1.30,0.63,0.56,1,225.07,10.41,-0.39,NaN,3.82,1,-1.65,NaN,-1.35,NaN,,,,,
'CASCAIS',38.68,-9.42,1884,1991,3.10,0.69,5.59,1.02,0.55,0.90,NaN,284.36,33.88,1.52,NaN,0.59,NaN,0.50,NaN,0.29,NaN,,,,,
'ST__PETERSBURG',27.76,-82.63,1949,2017,9.31,6.76,12.95,1.27,0.72,0.52,1,230.38,5.53,-2.28,1,0.15,NaN,-2.92,1,-3.09,1,,,,,
'KAHULUI_HARBOR__MAUI_ISLAND',20.90,-156.48,1949,2017,4.19,2.16,6.16,0.80,0.68,0.08,NaN,272.23,14.44,0.46,NaN,-2.14,1,-1.18,NaN,-1.04,NaN,,,,,
'LEGASPI__ALBAY',13.15,123.75,1949,2016,5.92,2.24,9.11,1.24,0.65,-0.30,NaN,204.21,14.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'MIDWAY_ISLAND',28.21,-177.36,1949,2017,5.14,0.65,12.48,1.91,0.41,-0.47,NaN,310.37,14.03,0.74,NaN,-4.11,1,2.01,NaN,-1.53,NaN,,,,,
'VARDO',70.37,31.10,1950,2017,11.58,7.54,16.13,1.62,0.72,-0.61,NaN,327.92,11.51,-1.35,NaN,2.36,NaN,-0.74,NaN,-0.64,NaN,,,,,
'BAR_HARBOR__FRENCHMAN_BAY__ME',44.39,-68.21,1950,2017,2.17,0.32,4.73,0.94,0.46,0.45,1,210.86,31.07,1.07,NaN,1.50,NaN,0.91,NaN,0.13,NaN,,,,,
'GRAND_ISLE',29.26,-89.96,1949,2017,8.38,5.42,11.12,1.33,0.75,0.59,1,229.01,9.30,-1.65,NaN,-0.36,NaN,-0.28,NaN,-0.57,NaN,,,,,
'CHUUK___MOEN_ISLAND',7.45,151.85,1950,1992,3.12,0.31,7.51,1.47,0.41,0.01,NaN,144.13,42.40,4.79,1,2.21,NaN,1.97,NaN,3.80,1,,,,,
'DAVAO__DAVAO_GULF',7.08,125.63,1950,2016,6.11,1.71,8.62,1.03,0.71,NaN,NaN,207.17,9.39,0.90,NaN,-1.25,NaN,2.91,1,0.97,NaN,,,,,
'ROCKPORT',28.02,-97.05,1950,2017,6.76,3.41,10.08,1.37,0.67,0.02,NaN,232.60,12.89,-0.80,NaN,-0.84,NaN,-1.21,NaN,1.34,NaN,,,,,
'PAGO_PAGO',-14.28,-170.69,1951,2017,2.19,0.06,6.17,1.15,0.36,0.04,NaN,200.77,64.24,0.21,NaN,0.28,NaN,0.94,NaN,-1.51,NaN,,,,,
'APRA_HARBOR',13.44,144.65,1950,2017,6.37,2.10,10.71,1.46,0.59,0.02,NaN,178.49,14.69,2.21,NaN,3.38,1,2.68,NaN,0.28,NaN,,,,,
'BARENTSBURG',78.07,14.25,1950,2016,9.32,6.27,13.83,1.27,0.67,-0.11,NaN,304.79,16.42,-0.06,NaN,-1.29,NaN,2.00,NaN,0.52,NaN,,,,,
'LA_LIBERTAD_II',-2.20,-80.92,1951,1992,2.25,0.12,5.15,1.15,0.44,-0.37,NaN,73.35,36.11,-2.00,NaN,-4.46,1,2.74,1,-2.22,1,,,,,
'KEELUNG_II',25.13,121.73,1958,1993,16.27,14.38,18.14,0.68,0.90,-0.11,NaN,209.66,4.47,-1.62,1,0.71,NaN,-1.29,NaN,-1.79,1,,,,,
'YUZHNO_KURILSK',44.02,145.87,1951,1992,4.93,1.20,8.34,1.27,0.59,-0.44,NaN,314.54,13.26,-0.50,NaN,0.51,NaN,1.50,NaN,2.65,1,,,,,
'BARENTSBURG_II__SPITSBERGEN_',78.07,14.25,1950,2011,9.40,6.27,13.83,1.28,0.68,0.08,NaN,305.49,16.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'CAMP_COVE',-33.83,151.28,1950,1987,4.32,2.15,6.59,0.99,0.66,NaN,NaN,125.02,10.01,0.70,NaN,-3.22,1,3.40,1,1.73,1,,,,,
'ALERT_BAY',50.58,-126.95,1950,1976,11.23,8.88,13.69,1.16,0.82,NaN,NaN,0.98,8.91,-0.30,NaN,NaN,NaN,4.00,1,2.04,NaN,,,,,
'BODO',67.29,14.39,1952,2017,14.21,10.38,18.47,1.49,0.77,0.03,NaN,328.22,11.31,1.64,NaN,3.72,1,0.45,NaN,3.97,1,,,,,
'GIBARA',21.11,-76.13,1976,2016,7.83,3.61,11.24,1.50,0.70,0.77,1,249.86,8.13,-1.51,NaN,3.88,1,-0.34,NaN,-0.99,NaN,,,,,
'MACKAY',-21.10,149.23,1962,2016,10.33,7.28,12.52,0.99,0.83,-0.10,NaN,72.21,4.33,-1.46,NaN,-0.33,NaN,-3.26,1,-3.70,1,,,,,
'CORDOVA',60.56,-145.75,1966,2017,12.47,7.43,15.79,1.53,0.79,0.50,NaN,327.61,7.36,6.06,1,-2.80,NaN,3.31,1,6.56,1,,,,,
'KODIAK_ISLAND___WOMENS_BAY',57.73,-152.51,1987,2017,7.78,5.63,10.32,1.11,0.75,0.20,NaN,329.35,7.26,2.46,1,-1.05,NaN,1.17,NaN,2.09,NaN,,,,,
'TIKSI__TIKSI_BUKHTA_',71.58,128.92,1951,2008,12.74,7.01,24.66,3.35,0.52,1.24,NaN,229.21,9.59,4.11,NaN,4.05,1,6.26,1,1.52,NaN,,,,,
'TALCAHUANO',-36.68,-73.10,1952,2016,3.66,1.58,6.99,0.98,0.52,-0.12,NaN,138.94,19.03,-0.01,NaN,-2.00,1,-0.99,NaN,-2.06,NaN,,,,,
'CARTAGENA',10.40,-75.55,1951,1990,5.33,3.53,6.81,0.81,0.78,-0.21,NaN,258.03,8.39,-0.86,NaN,-0.98,NaN,-1.66,1,-2.05,1,,,,,
'BERGEN',60.40,5.32,1917,2017,10.62,6.53,15.04,1.32,0.71,-0.16,NaN,310.41,11.89,0.09,NaN,0.19,NaN,-0.24,NaN,-0.33,NaN,,,,,
'GENOVA',44.40,8.90,1886,1995,3.72,0.73,7.03,1.20,0.53,NaN,NaN,277.74,24.73,0.83,NaN,2.03,NaN,0.04,NaN,0.57,NaN,,,,,
'ARRECIFE',28.97,-13.53,1951,2016,4.16,0.28,6.69,1.11,0.62,0.25,1,243.87,26.85,1.30,NaN,3.05,1,-0.20,NaN,2.79,1,,,,,
'WAKE_ISLAND',19.29,166.62,1952,2017,4.40,0.12,8.23,1.55,0.53,-0.39,NaN,256.85,30.60,0.71,NaN,0.47,NaN,0.04,NaN,2.10,NaN,,,,,
'KANDLA',23.02,70.22,1952,2013,6.22,4.06,8.41,1.07,0.74,NaN,NaN,169.01,15.27,0.03,NaN,-4.05,1,1.37,NaN,-2.09,NaN,,,,,
'GLOUCESTER_POINT',37.25,-76.50,1952,2001,7.03,3.59,9.35,0.92,0.75,0.16,NaN,225.31,9.56,-2.85,1,2.66,1,-2.39,1,-4.58,1,,,,,
'JOHNSTON_ISLAND',16.74,-169.53,1949,2016,6.57,3.08,9.20,1.28,0.71,0.08,NaN,291.66,17.53,4.27,1,-2.55,1,0.38,NaN,1.12,NaN,,,,,
'AMDERMA',69.75,61.70,1952,2016,12.61,6.93,17.37,1.68,0.73,-0.11,NaN,289.00,10.39,-0.50,NaN,-1.83,NaN,-6.59,1,-1.50,NaN,,,,,
'UST_KARA',69.25,64.52,1952,2016,8.83,2.31,13.91,2.63,0.63,-0.49,NaN,272.53,21.01,-1.01,NaN,0.27,NaN,-0.57,NaN,0.60,NaN,,,,,
'FEDOROVA__CHELUSKIN_MYS_',77.72,104.30,1952,2016,5.07,0.45,14.45,2.96,0.35,-0.01,NaN,276.67,50.34,-3.77,1,-5.86,1,-4.72,1,-1.86,NaN,,,,,
'SANNIKOVA__SANNIKOVA_PROLIV_',74.67,138.90,1952,2016,10.82,1.49,17.79,3.47,0.61,-1.35,1,250.03,17.39,-0.96,NaN,-3.39,NaN,-4.16,1,-1.39,1,,,,,
'SHALAUROVA__SHALAUROVA_MYS_',73.18,143.23,1952,1999,11.84,5.71,16.88,2.37,0.70,-0.17,NaN,246.70,8.72,0.07,NaN,2.04,NaN,-2.56,NaN,0.49,NaN,,,,,
'AMBARCHIK',69.62,162.30,1952,2012,12.65,3.49,16.52,2.60,0.77,-2.97,1,223.28,9.15,-1.09,NaN,-4.20,NaN,-2.23,NaN,-0.67,NaN,,,,,
'RAU_CHUA',69.50,166.58,1952,2012,13.59,7.39,18.44,2.68,0.74,NaN,NaN,244.55,9.43,0.95,NaN,3.88,NaN,-6.28,1,1.47,NaN,,,,,
'PEVEK',69.70,170.25,1952,2012,13.92,6.62,24.61,3.57,0.57,0.33,NaN,248.76,11.68,-2.73,NaN,5.48,1,-6.18,1,1.69,NaN,,,,,
'VANKAREM',67.83,-175.83,1952,2005,13.54,4.21,21.30,3.57,0.64,-3.13,1,268.59,14.13,-4.44,1,-2.82,NaN,-2.59,NaN,-1.84,NaN,,,,,
'VRANGELIA__VRANGELIA_OSTROV_',70.98,-178.48,1952,2007,12.81,9.89,18.46,1.71,0.69,-1.24,1,251.63,6.12,1.31,NaN,1.60,NaN,0.83,NaN,0.23,NaN,,,,,
'MARSEILLE',43.28,5.35,1887,2016,4.01,0.52,7.69,1.39,0.52,0.71,1,306.38,25.23,-0.03,NaN,-2.51,1,1.55,NaN,1.31,NaN,,,,,
'DIKSON',73.50,80.40,1952,2016,7.42,0.26,20.12,3.12,0.37,-1.45,1,264.46,35.44,-6.73,1,-4.87,NaN,6.67,1,0.90,NaN,,,,,
'NETTEN',66.97,-171.93,1952,1992,16.33,10.22,24.66,3.35,0.66,2.31,NaN,268.81,8.57,-3.49,NaN,1.16,NaN,6.89,1,6.83,1,,,,,
'QINHUANGDAO',39.90,119.60,1952,1992,28.62,26.18,31.04,0.96,0.92,-1.04,1,203.05,2.80,0.23,NaN,-2.99,1,0.08,NaN,-3.94,1,,,,,
'PRAVDY__PRAVDY_OSTROV_',76.27,94.77,1952,1992,7.90,2.49,14.79,2.52,0.53,1.63,1,304.37,26.05,-5.31,1,-1.51,NaN,4.41,1,2.77,NaN,,,,,
'MYS_SHMIDTA',68.90,-179.37,1952,1991,14.04,10.67,19.69,1.75,0.71,-0.72,NaN,258.53,7.18,-0.40,NaN,-1.14,NaN,2.40,NaN,2.52,NaN,,,,,
'RATMANOVA',65.85,-169.13,1952,1990,9.36,1.60,13.60,3.23,0.69,NaN,NaN,258.82,19.29,-1.92,NaN,-5.34,1,1.18,NaN,-3.58,NaN,,,,,
'CALDERA',-27.07,-70.83,1953,1989,3.46,2.21,5.31,0.64,0.65,NaN,NaN,62.87,11.32,-1.71,NaN,-2.55,1,-0.56,NaN,-2.16,1,,,,,
'OSLO',59.91,10.73,1887,2017,11.60,4.16,18.69,2.77,0.62,-0.75,1,274.61,17.91,-1.34,NaN,-2.73,NaN,-4.99,1,-2.09,NaN,,,,,
'MALYI_TAIMYR__MALYI_TAIMYR_OSTROV_',78.08,106.82,1952,1989,5.15,2.18,9.89,1.86,0.52,NaN,NaN,245.48,11.41,-1.96,NaN,-3.87,1,6.07,1,-2.95,1,,,,,
'KOLUCHIN',67.48,-174.65,1952,1989,13.86,8.30,20.45,2.80,0.68,NaN,NaN,271.66,9.01,-0.46,NaN,-0.82,NaN,4.30,1,-0.23,NaN,,,,,
'UGORSKII_SHAR__UGORSKII_SHAR_PROLIV_',69.82,60.75,1952,1988,14.73,8.23,21.86,3.20,0.67,NaN,NaN,299.44,14.70,6.85,1,6.44,1,-5.00,1,7.33,1,,,,,
'ONAHAMA',36.94,140.89,1953,2008,10.33,8.46,11.57,0.62,0.89,-0.16,NaN,262.45,3.43,1.22,NaN,-0.62,NaN,0.39,NaN,-0.51,NaN,,,,,
'KIPTOPEKE_BEACH',37.17,-75.99,1954,2017,6.97,3.11,11.17,1.39,0.62,0.67,1,234.24,8.72,-1.26,NaN,3.84,1,-4.31,1,-2.59,1,,,,,
'TOWNSVILLE_I',-19.25,146.83,1961,2017,9.79,8.13,11.41,0.74,0.86,-0.13,NaN,70.67,4.33,-0.85,NaN,0.28,NaN,-4.70,1,-2.69,1,,,,,
'REYKJAVIK',64.15,-21.94,1958,2016,8.22,5.50,10.35,0.95,0.79,0.23,NaN,309.15,10.03,1.12,NaN,-2.36,NaN,1.84,NaN,1.68,NaN,,,,,
'GDANSK_NOWY_PORT',54.40,18.68,1953,1997,10.27,0.35,17.71,4.13,0.58,-4.05,1,286.01,27.01,-4.14,NaN,1.96,NaN,-5.47,1,-0.13,NaN,,,,,
'DUNAI__DUNAI_OSTROV_',73.93,124.50,1953,2009,11.00,0.67,17.38,3.82,0.63,1.12,NaN,243.75,18.69,1.44,NaN,6.95,1,-7.81,1,-6.68,1,,,,,
'KIGILIAH',73.33,139.87,1953,2016,10.08,4.18,15.95,2.38,0.63,0.32,NaN,251.51,13.70,-6.73,1,-4.87,NaN,6.67,1,0.90,NaN,,,,,
'KOLOBRZEG',54.18,15.55,1953,1997,8.60,0.23,14.37,3.40,0.60,-3.49,1,285.74,25.31,-17.71,1,0.57,NaN,0.26,1,5.14,1,,,,,
'USTKA',54.58,16.87,1953,1997,10.05,0.12,16.52,3.80,0.61,-3.84,1,291.26,22.39,-4.82,1,1.32,NaN,-5.12,1,-0.32,NaN,,,,,
'WLADYSLAWOWO',54.80,18.42,1953,1997,10.67,0.91,18.20,3.96,0.59,-3.77,1,291.62,23.78,-5.34,1,2.55,NaN,-6.04,1,-0.97,NaN,,,,,
'ANDREIA__ANDREIA_OSTROV_',76.80,110.75,1953,1996,8.17,3.04,15.09,2.65,0.54,-0.24,NaN,268.60,16.36,0.80,NaN,-4.32,NaN,5.14,1,0.82,NaN,,,,,
'ZHELANIA_II__ZHELANIA_MYS_',76.95,68.55,1953,1993,8.20,5.19,11.64,1.34,0.70,0.97,1,294.00,15.34,-5.93,1,-0.05,NaN,1.49,NaN,-0.17,NaN,,,,,
'GEIBERGA__GEIBERGA_OSTROV_',77.60,101.52,1953,1992,4.98,0.51,11.62,1.94,0.43,-1.92,1,280.37,28.63,-1.16,NaN,-2.30,NaN,2.22,NaN,-2.43,NaN,,,,,
'SYDNEY__FORT_DENISON',-33.85,151.23,1888,1991,3.75,1.33,6.56,0.90,0.57,-0.59,NaN,119.42,15.53,1.17,NaN,-1.99,1,1.66,NaN,0.89,NaN,,,,,
'CHETYREHSTOLBOVOI',70.63,162.48,1953,1991,13.88,6.56,22.51,3.37,0.62,1.32,NaN,244.21,6.27,-6.72,1,10.42,1,-3.65,NaN,-7.16,1,,,,,
'PREOBRAZHENIA__PREOBRAZHENIA_OSTROV_',74.67,112.93,1953,1989,11.53,5.86,15.59,2.12,0.74,NaN,NaN,261.29,11.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'POPOVA__BELYI_OSTROV_',73.33,70.05,1952,2016,7.42,0.26,20.12,3.12,0.37,-1.45,1,264.46,35.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SOLNECHNAIA__SOLNECHNAIA_BUKHTA_',78.20,103.27,1953,1989,5.72,1.31,11.16,1.99,0.51,NaN,NaN,246.43,12.44,1.77,NaN,-8.23,1,6.10,1,-2.88,NaN,,,,,
'SVIATOI_NOS__SVIATOI_NOS_MYS_',72.83,140.73,1953,1985,8.20,0.87,14.59,3.46,0.56,NaN,NaN,248.87,29.50,-1.86,NaN,-0.98,NaN,-2.55,NaN,-3.81,NaN,,,,,
'ZEMLIA_BUNGE',74.88,142.12,1953,1985,10.87,6.63,14.49,1.66,0.75,NaN,NaN,250.13,9.09,-1.45,NaN,-1.43,NaN,-0.46,NaN,-3.04,NaN,,,,,
'PROVIDENIA',64.42,-173.23,1953,1988,8.63,5.69,12.89,1.47,0.67,NaN,NaN,334.72,16.06,-0.33,NaN,15.36,NaN,2.18,NaN,2.78,NaN,,,,,
'MAIZURU_I',35.48,135.40,1953,1978,17.37,15.12,18.97,0.67,0.92,NaN,NaN,243.44,3.46,1.21,NaN,-0.37,NaN,0.39,NaN,0.56,NaN,,,,,
'OMINATO',41.25,141.15,1954,2005,10.48,8.10,13.28,1.07,0.79,-0.73,1,255.39,5.24,1.56,NaN,1.97,NaN,-4.08,1,-0.13,NaN,,,,,
'LANDSORT',58.74,17.87,1889,2004,9.98,0.78,19.39,3.76,0.51,-3.34,1,291.54,23.68,-4.40,NaN,2.73,NaN,-3.14,NaN,1.35,NaN,,,,,
'TROMSO',69.65,18.96,1954,2017,12.36,9.04,16.15,1.48,0.77,0.19,NaN,327.11,10.23,0.55,NaN,3.11,1,-1.54,NaN,1.31,NaN,,,,,
'HARSTAD',68.80,16.55,1954,2017,12.39,8.93,16.64,1.39,0.74,-0.02,NaN,326.67,10.15,0.31,NaN,3.66,1,-3.01,1,0.27,NaN,,,,,
'KRISTIANSUND',63.11,7.73,1954,2017,13.84,10.87,17.99,1.51,0.77,0.11,NaN,324.25,8.59,2.17,NaN,2.13,NaN,-0.35,NaN,1.53,NaN,,,,,
'MURMANSK',68.97,33.05,1954,2016,9.92,6.25,14.86,1.78,0.67,-0.65,1,309.29,14.94,0.61,NaN,3.98,1,-2.25,1,1.05,NaN,,,,,
'SPLIT_RT_MARJANA',43.51,16.39,1954,2005,4.42,0.21,7.35,1.62,0.60,0.78,1,322.77,33.02,1.50,NaN,-0.59,NaN,1.00,NaN,1.20,NaN,,,,,
'ACAPULCO',16.83,-99.92,1969,2010,8.63,5.27,15.60,1.94,0.55,NaN,NaN,241.56,9.89,3.00,1,-3.72,1,0.00,NaN,2.35,NaN,,,,,
'MURMANSK_II',68.97,33.05,1954,2009,10.18,6.25,14.84,1.72,0.69,-0.34,NaN,308.84,15.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SALINA_CRUZ',16.17,-95.20,1954,1988,10.32,7.75,13.43,1.13,0.77,NaN,NaN,207.08,13.09,1.21,NaN,-0.88,NaN,-1.38,NaN,-1.06,NaN,,,,,
'PROGRESO',21.30,-89.67,1954,2010,7.66,4.86,11.11,1.66,0.69,NaN,NaN,310.05,14.22,0.92,NaN,0.48,NaN,1.04,NaN,-3.36,1,,,,,
'GUAYMAS',27.92,-110.90,1954,1987,19.22,17.37,20.70,0.65,0.93,NaN,NaN,220.62,4.92,1.72,NaN,-0.15,NaN,-2.36,1,0.57,NaN,,,,,
'KUNGSHOLMSFORT',56.11,15.59,1889,2016,8.19,1.03,15.47,3.04,0.53,-1.53,1,288.14,23.02,-4.58,1,4.51,1,-5.03,1,-4.27,1,,,,,
'KAINAN',34.14,135.19,1955,2016,14.97,12.45,17.49,1.06,0.86,0.15,NaN,233.38,3.95,-0.17,NaN,-1.25,NaN,-2.72,1,-1.66,NaN,,,,,
'HANSTHOLM',57.12,8.60,1955,2015,11.79,6.43,18.11,2.41,0.65,-1.08,1,295.67,16.58,-2.23,NaN,0.91,NaN,-3.88,1,-3.23,NaN,,,,,
'VISE__VISE_OSTROV_',79.50,76.98,1955,2012,8.55,4.74,12.51,1.61,0.68,0.66,1,286.11,20.25,-0.07,NaN,-1.54,NaN,3.21,1,3.50,1,,,,,
'UEDINENIA__UEDINENIA_OSTROV_',77.50,82.20,1955,1993,7.37,1.24,15.27,2.59,0.48,1.62,1,305.04,26.61,-3.74,1,2.81,NaN,1.04,NaN,5.31,1,,,,,
'BILLINGA',69.88,175.77,1955,1993,13.82,8.16,18.32,2.12,0.75,0.45,NaN,253.35,7.36,-0.53,NaN,7.46,1,0.67,NaN,2.78,NaN,,,,,
'HANKO___HANGO',59.82,22.98,1890,2016,11.48,0.39,22.64,4.14,0.51,-1.63,1,300.13,25.06,-5.31,NaN,7.62,1,-7.31,1,-4.13,NaN,,,,,
'RUSSKAIA_GAVAN_II',76.18,62.58,1955,1991,11.84,9.12,15.02,1.27,0.79,0.80,NaN,306.13,13.07,-0.30,NaN,-0.18,NaN,0.82,NaN,-0.45,NaN,,,,,
'RUSSKAYA_GAVAN',76.20,62.58,1955,1988,11.73,9.12,14.90,1.22,0.79,NaN,NaN,304.57,11.70,-0.30,NaN,-0.18,NaN,0.82,NaN,-0.45,NaN,,,,,
'YSTAD',55.42,13.82,1889,1979,7.40,1.59,12.79,2.34,0.58,NaN,NaN,277.28,15.58,0.44,NaN,-0.09,NaN,-3.00,NaN,3.73,1,,,,,
'ASAMUSHI',40.90,140.86,1956,2016,10.46,7.66,12.84,1.02,0.81,-0.21,NaN,253.96,5.14,-0.69,NaN,1.80,NaN,-2.23,1,-0.24,NaN,,,,,
'YOKOSUKA',35.29,139.65,1957,2016,9.07,6.43,11.07,0.94,0.82,-0.18,NaN,250.03,4.08,0.00,NaN,1.28,NaN,-2.74,1,0.91,NaN,,,,,
'DALIAN',38.87,121.68,1956,2016,23.98,21.16,27.26,1.24,0.88,-0.32,NaN,206.76,2.49,-2.38,1,-0.43,NaN,-2.25,1,-2.30,1,,,,,
'SEMBAWANG',1.47,103.83,1956,2016,13.51,11.89,14.95,0.73,0.90,0.30,1,358.19,3.24,-2.08,1,1.64,NaN,-0.60,NaN,-3.25,1,,,,,
'FREEPORT',28.95,-95.31,1956,2005,6.87,3.12,9.84,1.35,0.70,0.21,NaN,243.32,12.83,-0.49,NaN,0.76,NaN,0.50,NaN,-0.08,NaN,,,,,
'CANANEIA',-25.02,-47.93,1956,2004,5.70,2.13,9.83,1.38,0.58,0.18,NaN,98.92,21.17,-4.85,1,-0.92,NaN,0.51,NaN,-4.71,1,,,,,
'XIAMEN',24.45,118.07,1956,2002,13.05,10.06,15.87,1.33,0.82,-0.07,NaN,300.32,5.14,-3.67,1,-2.20,NaN,-0.93,NaN,-3.25,1,,,,,
'IZVESTIA_TSIK__IZVESTIA_TSIK_OSTROVA_',75.95,82.95,1956,2014,10.05,4.45,13.94,2.01,0.72,0.10,NaN,300.55,14.34,-2.35,NaN,1.41,NaN,-0.48,NaN,0.44,NaN,,,,,
'GOLOMIANYI__GOLOMIANYI_OSTROV_',79.55,90.62,1956,2013,4.76,1.62,8.98,1.54,0.53,0.08,NaN,297.56,26.44,-3.70,1,0.65,NaN,-0.95,NaN,0.24,NaN,,,,,
'VARBERG',57.10,12.22,1889,1979,9.78,4.36,14.54,2.12,0.67,NaN,NaN,273.09,10.87,1.28,NaN,-2.64,NaN,-0.07,NaN,4.18,1,,,,,
'AION',69.93,167.98,1956,2005,12.31,5.62,16.88,2.34,0.73,0.16,NaN,245.90,7.89,0.49,NaN,-2.31,NaN,2.86,NaN,2.09,NaN,,,,,
'YANTAI',37.53,121.38,1956,1992,22.99,19.02,25.03,1.01,0.92,-0.75,1,211.78,4.14,-0.15,NaN,-1.38,NaN,-1.78,NaN,0.78,NaN,,,,,
'MORZHOVAIA__HARASAVEI_MYS_',71.42,67.58,1956,1992,12.16,7.36,16.69,1.92,0.73,-1.21,NaN,291.00,14.33,-7.31,1,-8.73,1,-1.56,NaN,-4.26,NaN,,,,,
'ISACHENKO__ISACHENKO_OSTROV_',77.15,89.20,1956,1991,6.36,2.62,11.92,1.82,0.53,0.81,NaN,298.51,22.33,-3.51,NaN,0.21,NaN,-0.02,NaN,0.36,NaN,,,,,
'KOSYSTYI__KOSYSTYI_MYS_',73.65,109.73,1956,1987,11.15,4.64,16.15,2.75,0.69,NaN,NaN,243.29,8.20,-2.45,NaN,1.21,NaN,2.48,NaN,-7.17,1,,,,,
