Tide Gauge Name,Latitude,Longitude,Start Year,End Year,Mean Amplitude (cm),Minimum Amplitude (cm),Maximum Amplitude (cm),Std of Amplitude (cm),Ratio: Mean/Max,Trends Post-1970 (mm/yr),Significant,Phase Mean (degrees),Phase Circular Std (degrees),ENSO,SigENSO,NAO,SigNAO,AMO,SigAMO,PDO,SigPDO,,,,,
'NEW_YORK__THE_BATTERY_',40.70,-74.01,1858,2017,7.83,2.35,11.25,1.45,0.70,0.65,1,212.23,11.89,-1.81,NaN,2.72,1,-2.36,1,-0.70,NaN,,,,,
'GEDSER',54.57,11.93,1894,2015,5.43,0.20,11.39,2.13,0.48,-0.96,1,257.88,27.28,-2.38,NaN,0.61,NaN,-0.58,NaN,-1.93,NaN,,,,,
'KURE_IV',34.24,132.55,1970,2016,16.77,14.73,18.26,0.74,0.92,-0.07,NaN,232.33,2.76,-2.15,1,1.39,NaN,-2.58,1,-1.61,1,,,,,
'TOKUYAMA_II',34.04,131.80,1970,2016,17.14,14.58,19.02,0.95,0.90,-0.17,NaN,230.62,2.65,-2.54,1,-0.87,NaN,-3.02,1,-2.41,1,,,,,
'SPIKARNA',62.36,17.53,1971,2016,12.33,4.78,20.75,3.82,0.59,-1.70,1,317.44,25.42,-5.92,1,0.72,NaN,-7.88,1,-6.12,1,,,,,
'UWAJIMA_II',33.23,132.55,1971,2016,15.04,12.92,17.29,0.90,0.87,-0.21,NaN,229.93,3.57,-1.36,NaN,-2.01,1,-2.16,1,-3.05,1,,,,,
'RIVIERE_AU_RENARD',49.00,-64.38,1970,2016,2.96,0.39,5.21,1.15,0.57,0.24,NaN,259.75,23.48,0.17,NaN,1.76,NaN,1.29,NaN,2.13,1,,,,,
'PORTPATRICK',54.84,-5.12,1970,2009,9.19,5.87,12.10,1.41,0.76,0.10,NaN,318.72,8.55,3.94,1,1.41,NaN,-0.29,NaN,1.97,NaN,,,,,
'DRAGHALLAN',62.37,17.53,1900,1965,10.03,0.91,18.49,3.72,0.54,NaN,NaN,289.70,18.42,-1.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SOUDHAS',35.49,24.08,1971,2009,6.90,3.55,9.14,1.26,0.76,0.82,1,253.33,9.54,0.75,NaN,-1.30,NaN,3.30,1,0.46,NaN,,,,,
